City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
303,holdrege,40.4403,-99.3698,4.95,38,100,4.12,US,1682310580
304,tete,-16.1564,33.5867,18.29,91,100,0.57,MZ,1682310581
305,bukittinggi,-0.3091,100.3706,27.41,61,100,0.82,ID,1682310581
306,rongelap,11.1635,166.8941,27.06,81,57,10.03,MH,1682310581
307,lensk,60.7253,114.9278,1.65,54,56,3.44,RU,1682310583
308,quelimane,-17.8786,36.8883,18.13,96,77,1.17,MZ,1682310583
309,kitami,43.8031,143.8908,4.7,74,100,3.42,JP,1682310584
310,arendal,58.4615,8.7725,7.89,95,100,0.82,NO,1682310584
311,gorokhovets,56.1947,42.7003,11.18,60,21,2.77,RU,1682310584
312,tongren,27.7172,109.1853,8.41,91,100,2.28,CN,1682310584
313,effingham,39.12,-88.5434,3.95,63,0,1.54,US,1682310585
314,guerrero negro,27.9769,-114.0611,14.94,84,0,5.76,MX,1682310463
315,pursat,12.5388,103.9192,36.58,41,39,1.76,KH,1682310585
316,corinto,-18.3808,-44.4564,20.76,75,100,2.03,BR,1682310585
317,lodja,-3.4833,23.4333,19.26,99,100,1.13,CD,1682310585
318,alesund,62.4723,6.1549,4.86,84,75,11.83,NO,1682310585
319,batu pahat,1.8548,102.9325,31.17,61,100,1.24,MY,1682310586
320,qujing,25.4833,103.7833,25.37,27,33,8.67,CN,1682310586
321,daru,-9.0763,143.2092,27.89,81,100,1.95,PG,1682310586
322,bijie,27.3125,105.2942,8.51,91,100,2.14,CN,1682310586
323,margate,51.3813,1.3862,7.72,82,89,3.58,GB,1682310458
324,jacmel,18.2342,-72.5347,23.91,80,2,3.24,HT,1682310586
325,port blair,11.6667,92.75,31.12,62,28,4.46,IN,1682310587
326,puri,19.8,85.85,30.29,70,20,5.21,IN,1682310587
327,kayangel,8.0823,134.7173,28.43,68,98,2.23,PW,1682310587
328,asau,46.4333,26.4,4.6,85,17,1.93,RO,1682310587
329,sitka,57.0531,-135.33,6.94,81,100,4.12,US,1682310588
330,kirakira,-10.4544,161.9205,29.16,75,29,2.91,SB,1682310588
331,mejit,10.2753,170.8646,27.44,80,54,8.3,MH,1682310588
332,whakatane,-37.9585,176.9854,16.95,57,16,3.58,NZ,1682310588
333,sept-iles,50.2001,-66.3821,2.29,89,40,4.12,CA,1682310588
334,vilyuchinsk,52.9306,158.4028,3.15,74,98,8.53,RU,1682310588
335,port isabel,26.0734,-97.2086,19.48,94,100,6.69,US,1682310589
336,sisimiut,66.9395,-53.6735,-0.22,99,100,1.45,GL,1682310589
337,gypsum,39.6469,-106.9517,6.31,49,0,0.0,US,1682310589
338,dubai,25.2582,55.3047,26.16,34,0,3.6,AE,1682310528
339,saint-denis,-20.8667,55.4667,27.84,75,30,2.57,RE,1682310589
